股票代码大全,,
深证A股
序号,代码,名称
440,000983,西山煤电
441,000985,大庆华科
442,000987,广州友谊
443,000988,华工科技
444,000989,九 芝 堂
445,000990,诚志股份
446,000993,闽东电力
447,000995,ST皇台
448,000996,中国中期
449,000997,新 大 陆
450,000998,隆平高科
451,000999,华润三九
452,001696,宗申动力
453,001896,豫能控股
454,002001,新 和 成
455,002002,ST金材
456,002003,伟星股份
457,002004,华邦制药
458,002005,德豪润达
459,002006,精功科技
460,002007,华兰生物
461,002008,大族激光
462,002009,天奇股份
463,002010,传化股份
464,002011,盾安环境
465,002012,凯恩股份
466,002013,中航精机
467,002014,永新股份
468,002015,霞客环保
469,002016,世荣兆业
470,002017,东信和平
471,002018,华星化工
472,002019,*ST鑫富
473,002020,京新药业
474,002021,中捷股份
475,002022,科华生物
476,002023,海特高新
477,002024,苏宁电器
478,002025,航天电器
479,002026,山东威达
480,002027,七喜控股
481,002028,思源电气
482,002029,七 匹 狼
483,002030,达安基因
484,002031,巨轮股份
485,002032,苏 泊 尔
486,002033,丽江旅游
487,002034,美 欣 达
488,002035,华帝股份
489,002036,宜科科技
490,002037,久联发展
491,002038,双鹭药业
492,002039,黔源电力
493,002040,南 京 港
494,002041,登海种业
495,002042,华孚色纺
496,002043,兔 宝 宝
497,002044,江苏三友
498,002045,广州国光
499,002046,轴研科技
500,002047,成霖股份
501,002048,宁波华翔
502,002049,晶源电子
503,002050,三花股份
504,002051,中工国际
505,002052,同洲电子
506,002053,云南盐化
507,002054,德美化工
508,002055,得润电子
509,002056,横店东磁
510,002057,中钢天源
511,002058,威 尔 泰
512,002059,云南旅游
513,002060,粤 水 电
514,002061,江山化工
515,002062,宏润建设
516,002063,远光软件
517,002064,华峰氨纶
518,002065,东华软件
519,002066,瑞泰科技
520,002067,景兴纸业
521,002068,黑猫股份
522,002069,獐 子 岛
523,002070,众和股份
524,002071,江苏宏宝
525,002072,ST德棉
526,002073,软控股份
527,002074,东源电器
528,002075,沙钢股份
529,002076,雪 莱 特
530,002077,大港股份
531,002078,太阳纸业
532,002079,苏州固锝
533,002080,中材科技
534,002081,金 螳 螂
535,002082,栋梁新材
536,002083,孚日股份
537,002084,海鸥卫浴
538,002085,万丰奥威
539,002086,东方海洋
540,002087,新野纺织
541,002088,鲁阳股份
542,002089,新 海 宜
543,002090,金智科技
544,002091,江苏国泰
545,002092,中泰化学
546,002093,国脉科技
547,002094,青岛金王
548,002095,生 意 宝
549,002096,南岭民爆
550,002097,山河智能
551,002098,浔兴股份
552,002099,海翔药业
553,002100,天康生物
554,002101,广东鸿图
555,002102,*ST冠福
556,002103,广博股份
557,002104,恒宝股份
558,002105,信隆实业
559,002106,莱宝高科
560,002107,沃华医药
561,002108,沧州明珠
562,002109,兴化股份
563,002110,三钢闽光
564,002111,威海广泰
565,002112,三变科技
566,002113,*ST天润
567,002114,*ST锌电
568,002115,三维通信
569,002116,中国海诚
570,002117,东港股份
571,002118,紫鑫药业
572,002119,康强电子
573,002120,新海股份
574,002121,科陆电子
575,002122,天马股份
576,002123,荣信股份
577,002124,天邦股份
578,002125,湘潭电化
579,002126,银轮股份
580,002127,新民科技
581,002128,露天煤业
582,002129,中环股份
583,002130,沃尔核材
584,002131,利欧股份
585,002132,恒星科技
586,002133,广宇集团
587,002134,天津普林
588,002135,东南网架
589,002136,安 纳 达
590,002137,实 益 达
591,002138,顺络电子
592,002139,拓邦股份
593,002140,东华科技
594,002141,蓉胜超微
595,002142,宁波银行
596,002143,高金食品
597,002144,宏达高科
598,002145,*ST钛白
599,002146,荣盛发展
600,002147,方圆支承
601,002148,北纬通信
602,002149,西部材料
603,002150,江苏通润
604,002151,北斗星通
605,002152,广电运通
606,002153,石基信息
607,002154,报 喜 鸟
608,002155,辰州矿业
609,002156,通富微电
610,002157,正邦科技
611,002158,汉钟精机
612,002159,三特索道
613,002160,常铝股份
614,002161,远 望 谷
615,002162,斯 米 克
616,002163,中航三鑫
617,002164,东力传动
618,002165,红 宝 丽
619,002166,莱茵生物
620,002167,东方锆业
621,002168,深圳惠程
622,002169,智光电气
623,002170,芭田股份
624,002171,精诚铜业
625,002172,澳洋科技
626,002173,山 下 湖
627,002174,梅 花 伞
628,002175,广陆数测
629,002176,江特电机
630,002177,御银股份
631,002178,延华智能
632,002179,中航光电
633,002180,万 力 达
634,002181,粤 传 媒
635,002182,云海金属
636,002183,怡 亚 通
637,002184,海得控制
638,002185,华天科技
639,002186,全 聚 德
640,002187,广百股份
641,002188,新 嘉 联
642,002189,利达光电
643,002190,成飞集成
644,002191,劲嘉股份
645,002192,路翔股份
646,002193,山东如意
647,002194,武汉凡谷
648,002195,海隆软件
649,002196,方正电机
650,002197,证通电子
651,002198,嘉应制药
652,002199,东晶电子
653,002200,*ST大地
654,002201,九鼎新材
655,002202,金风科技
656,002203,海亮股份
657,002204,大连重工
658,002205,国统股份
659,002206,海 利 得
660,002207,准油股份
661,002208,合肥城建
662,002209,达 意 隆
663,002210,飞马国际
664,002211,宏达新材
665,002212,南洋股份
666,002213,特 尔 佳
667,002214,大立科技
668,002215,诺 普 信
669,002216,三全食品
670,002217,联合化工
671,002218,拓日新能
672,002219,独 一 味
673,002220,天宝股份
674,002221,东华能源
675,002222,福晶科技
676,002223,鱼跃医疗
677,002224,三 力 士
678,002225,濮耐股份
679,002226,江南化工
680,002227,奥 特 迅
681,002228,合兴包装
682,002229,鸿博股份
683,002230,科大讯飞
684,002231,奥维通信
685,002232,启明信息
686,002233,塔牌集团
687,002234,民和股份
688,002235,安妮股份
689,002236,大华股份
690,002237,恒邦股份
691,002238,天威视讯
692,002239,金 飞 达
693,002240,威华股份
694,002241,歌尔声学
695,002242,九阳股份
696,002243,通产丽星
697,002244,滨江集团
698,002245,澳洋顺昌
699,002246,北化股份
700,002247,帝龙新材
701,002248,华东数控
702,002249,大洋电机
703,002250,联化科技
704,002251,步 步 高
705,002252,上海莱士
706,002253,川大智胜
707,002254,泰和新材
708,002255,海陆重工
709,002256,彩虹精化
710,002258,利尔化学
711,002259,升达林业
712,002260,伊 立 浦
713,002261,拓维信息
714,002262,恩华药业
715,002263,大 东 南
716,002264,新 华 都
717,002265,西仪股份
718,002266,浙富股份
719,002267,陕天然气
720,002268,卫 士 通
721,002269,美邦服饰
722,002270,法因数控
723,002271,东方雨虹
724,002272,川润股份
725,002273,水晶光电
726,002274,华昌化工
727,002275,桂林三金
728,002276,万马电缆
729,002277,友阿股份
730,002278,神开股份
731,002279,久其软件
732,002280,新世纪
733,002281,光迅科技
734,002282,博深工具
735,002283,天润曲轴
736,002284,亚太股份
737,002285,世联地产
738,002286,保龄宝
739,002287,奇正藏药
740,002288,超华科技
741,002289,宇顺电子
742,002290,禾盛新材
743,002291,星期六
744,002292,奥飞动漫
745,002293,罗莱家纺
746,002294,信立泰
747,002295,精艺股份
748,002296,辉煌科技
749,002297,博云新材
750,002298,鑫龙电器
751,002299,圣农发展
752,002300,太阳电缆
753,002301,齐心文具
754,002302,西部建设
755,002303,美盈森
756,002304,洋河股份
757,002305,南国置业
758,002306,湘鄂情
759,002307,北新路桥
760,002308,威创股份
761,002309,中利科技
762,002310,东方园林
763,002311,海大集团
764,002312,三泰电子
765,002313,日海通讯
766,002314,雅致股份
767,002315,焦点科技
768,002316,键桥通讯
769,002317,众生药业
770,002318,久立特材
771,002319,乐通股份
772,002320,海峡股份
773,002321,华英农业
774,002322,理工监测
775,002323,中联电气
776,002324,普利特
777,002325,洪涛股份
778,002326,永太科技
779,002327,富安娜
780,002328,新朋股份
781,002329,皇氏乳业
782,002330,得利斯
783,002331,皖通科技
784,002332,仙琚制药
785,002333,罗普斯金
786,002334,英威腾
787,002335,科华恒盛
788,002336,人人乐
789,002337,赛象科技
790,002338,奥普光电
791,002339,积成电子
792,002340,格林美
793,002341,新纶科技
794,002342,巨力索具
795,002343,禾欣股份
796,002344,海宁皮城
797,002345,潮宏基
798,002346,柘中建设
799,002347,泰尔重工
800,002348,高乐股份
801,002349,精华制药
802,002350,北京科锐
803,002351,漫步者
804,002352,鼎泰新材
805,002353,杰瑞股份
806,002354,科冕木业
807,002355,兴民钢圈
808,002356,浩宁达
809,002357,富临运业
810,002358,森源电气
811,002359,齐星铁塔
812,002360,同德化工
813,002361,神剑股份
814,002362,汉王科技
815,002363,隆基机械
816,002364,中恒电气
817,002365,永安药业
818,002366,丹甫股份
819,002367,康力电梯
820,002368,太极股份
821,002369,卓翼科技
822,002370,亚太药业
823,002371,七星电子
824,002372,伟星新材
825,002373,联信永益
826,002374,丽鹏股份
827,002375,亚厦股份
828,002376,新北洋
829,002377,国创高新
830,002378,章源钨业
831,002379,鲁丰股份
832,002380,科远股份
833,002381,双箭股份
834,002382,蓝帆股份
835,002383,合众思壮
836,002384,东山精密
837,002385,大北农
838,002386,天原集团
839,002387,黑牛食品
840,002388,新亚制程
841,002389,南洋科技
842,002390,信邦制药
843,002391,长青股份
844,002392,北京利尔
845,002393,力生制药
846,002394,联发股份
847,002395,双象股份
848,002396,星网锐捷
849,002397,梦洁家纺
850,002398,建研集团
851,002399,海普瑞
852,002400,省广股份
853,002401,中海科技
854,002402,和而泰
855,002403,爱仕达
856,002404,嘉欣丝绸
857,002405,四维图新
858,002406,远东传动
859,002407,多氟多
860,002408,齐翔腾达
861,002409,雅克科技
862,002410,广联达
863,002411,九九久
864,002412,汉森制药
865,002413,常发股份
866,002414,高德红外
867,002415,海康威视
868,002416,爱施德
869,002417,三元达
870,002418,康盛股份
871,002419,天虹商场
872,002420,毅昌股份
873,002421,达实智能
874,002422,科伦药业
875,002423,中原特钢
876,002424,贵州百灵
877,002425,凯撒股份
878,002426,胜利精密
879,002427,尤夫股份
880,002428,云南锗业
881,002429,兆驰股份
882,002430,杭氧股份
883,002431,棕榈园林
884,002432,九安医疗
885,002433,太安堂
886,002434,万里扬
887,002435,长江润发
888,002436,兴森科技
889,002437,誉衡药业
890,002438,江苏神通
891,002439,启明星辰
892,002440,闰土股份
893,002441,众业达
894,002442,龙星化工
895,002443,金洲管道
896,002444,巨星科技
897,002445,中南重工
898,002446,盛路通信
899,002447,壹桥苗业
900,002448,中原内配
901,002449,国星光电
902,002450,康得新
903,002451,摩恩电气
904,002452,长高集团
905,002453,天马精化
906,002454,松芝股份
907,002455,百川股份
908,002456,欧菲光
909,002457,青龙管业
910,002458,益生股份
911,002459,天业通联
912,002460,赣锋锂业
913,002461,珠江啤酒
914,002462,嘉事堂
915,002463,沪电股份
916,002464,金利科技
917,002465,海格通信
918,002466,天齐锂业
919,002467,二六三
920,002468,艾迪西
921,002469,三维工程
922,002470,金正大
923,002471,中超电缆
924,002472,双环传动
925,002473,圣莱达
926,002474,榕基软件
927,002475,立讯精密
928,002476,宝莫股份
929,002477,雏鹰农牧
930,002478,常宝股份
931,002479,富春环保
932,002480,新筑股份
933,002481,双塔食品
934,002482,广田股份
935,002483,润邦股份
936,002484,江海股份
937,002485,希努尔
938,002486,嘉麟杰
939,002487,大金重工
940,002488,金固股份
941,002489,浙江永强
942,002490,山东墨龙
943,002491,通鼎光电
944,002492,恒基达鑫
945,002493,荣盛石化
946,002494,华斯股份
947,002495,佳隆股份
948,002496,辉丰股份
949,002497,雅化集团
950,002498,汉缆股份
951,002499,科林环保
952,002500,山西证券
953,002501,利源铝业
954,002502,骅威股份
955,002503,搜于特
956,002504,东光微电
957,002505,大康牧业
958,002506,超日太阳
959,002507,涪陵榨菜
960,002508,老板电器
961,002509,天广消防
962,002510,天汽模
963,002511,中顺洁柔
964,002512,达华智能
965,002513,蓝丰生化
966,002514,宝馨科技
967,002515,金字火腿
968,002516,江苏旷达
969,002517,泰亚股份
970,002518,科士达
971,002519,银河电子
972,002520,日发数码
973,002521,齐峰股份
974,002522,浙江众成
975,002523,天桥起重
976,002524,光正钢构
977,002526,山东矿机
978,002527,新时达
979,002528,英飞拓
980,002529,海源机械
981,002530,丰东股份
982,002531,天顺风能
983,002532,新界泵业
984,002533,金杯电工
985,002534,杭锅股份
986,002535,林州重机
987,002536,西泵股份
988,002537,海立美达
989,002538,司尔特
990,002539,新都化工
991,002540,亚太科技
992,002541,鸿路钢构
993,002542,中化岩土
994,002543,万和电气
995,002544,杰赛科技
996,002545,东方铁塔
997,002546,新联电子
998,002547,春兴精工
999,002548,金新农
1000,002549,凯美特气
1001,002550,千红制药
1002,002551,尚荣医疗
1003,002552,宝鼎重工
1004,002553,南方轴承
1005,002554,惠博普
1006,002555,顺荣股份
1007,002556,辉隆股份
1008,002557,洽洽食品
1009,002558,世纪游轮
1010,002559,亚威股份
1011,002560,通达股份
1012,002561,徐家汇
1013,002562,兄弟科技
1014,002563,森马服饰
1015,002564,张化机
1016,002565,上海绿新
1017,002566,益盛药业
1018,002567,唐人神
1019,002568,百润股份
1020,002569,步森股份
1021,002570,贝因美
1022,002571,德力股份
1023,002572,索菲亚
1024,002573,国电清新
1025,002574,明牌珠宝
1026,002575,群兴玩具
1027,002576,通达动力
1028,002577,雷柏科技
1029,002578,闽发铝业
1030,002579,中京电子
1031,002580,圣阳股份
1032,002581,万昌科技
1033,002582,好想你
1034,002583,海能达
1035,002584,西陇化工
1036,002585,双星新材
1037,002586,围海股份
1038,002587,奥拓电子
1039,002588,史丹利
1040,002589,瑞康医药
1041,002590,万安科技
1042,002591,恒大高新
1043,002592,八菱科技
1044,002593,日上集团
1045,002594,比亚迪
1046,002595,豪迈科技
1047,002596,海南瑞泽
1048,002597,金禾实业
1049,002598,山东章鼓
1050,002599,盛通股份
1051,002600,江粉磁材
1052,002601,佰利联
1053,002602,世纪华通
1054,002603,以岭药业
1055,002604,龙力生物
1056,002605,姚记扑克
1057,002606,大连电瓷
1058,002607,亚夏汽车
1059,002608,舜天船舶
1060,002609,捷顺科技
1061,002610,爱康科技
1062,002611,东方精工
1063,002612,朗姿股份
1064,002613,北玻股份
1065,002614,蒙发利
1066,002615,哈尔斯
1067,002616,长青集团
1068,002617,露笑科技
1069,002618,丹邦科技
1070,002619,巨龙管业
1071,002620,瑞和股份
1072,002621,大连三垒
1073,002622,永大集团
1074,002623,亚玛顿
1075,002624,金磊股份
1076,002625,龙生股份
1077,002626,金达威
1078,002627,宜昌交运
1079,002628,成都路桥
1080,002629,仁智油服
1081,002630,华西能源
1082,002631,德尔家居
1083,002632,道明光学
1084,002633,申科股份
1085,002634,棒杰股份
1086,002635,安洁科技
1087,002636,金安国纪
1088,002637,赞宇科技
1089,002638,勤上光电
1090,002639,雪人股份
1091,002640,百圆裤业
1092,002641,永高股份
1093,002642,荣之联
1094,002643,烟台万润
1095,002644,佛慈制药
1096,002645,华宏科技
1097,002646,青青稞酒
1098,002647,宏磊股份
1099,002648,卫星石化
1100,002649,博彦科技
1101,002650,加加食品
1102,002651,利君股份
1103,002652,扬子新材
1104,002653,海思科
1105,002654,万润科技
1106,002655,共达电声
1107,002656,卡奴迪路
1108,002657,中科金财
1109,002658,雪迪龙
1110,002659,中泰桥梁
1111,002660,茂硕电源
1112,002661,克明面业
1113,002662,京威股份
1114,002663,普邦园林
1115,002664,信质电机
1116,002665,首航节能
1117,002666,德联集团
1118,002667,鞍重股份
1119,002668,奥马电器
1120,002669,康达新材
1121,002670,华声股份
1122,002671,龙泉股份
1123,002672,东江环保
1124,002673,西部证券
1125,002674,兴业科技
1126,300001,特锐德
1127,300002,神州泰岳
1128,300003,乐普医疗
1129,300004,南风股份
1130,300005,探路者
1131,300006,莱美药业
1132,300007,汉威电子
1133,300008,上海佳豪
1134,300009,安科生物
1135,300010,立思辰
1136,300011,鼎汉技术
1137,300012,华测检测
1138,300013,新宁物流
1139,300014,亿纬锂能
1140,300015,爱尔眼科
1141,300016,北陆药业
1142,300017,网宿科技
1143,300018,中元华电
1144,300019,硅宝科技
1145,300020,银江股份
1146,300021,大禹节水
1147,300022,吉峰农机
1148,300023,宝德股份
1149,300024,机器人
1150,300025,华星创业
1151,300026,红日药业
1152,300027,华谊兄弟
1153,300028,金亚科技
1154,300029,天龙光电
1155,300030,阳普医疗
1156,300031,宝通带业
1157,300032,金龙机电
1158,300033,同花顺
1159,300034,钢研高纳
1160,300035,中科电气
1161,300036,超图软件
1162,300037,新宙邦
1163,300038,梅泰诺
1164,300039,上海凯宝
1165,300040,九洲电气
1166,300041,回天胶业
1167,300042,朗科科技
1168,300043,星辉车模
1169,300044,赛为智能
1170,300045,华力创通
